A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
161	Dy     	66 	95 	0.0000  	5/2+          	-68.0541  	19   	STABLE                   	infinity                 	18.889%   	42      	        	            
162	Dy     	66 	96 	0.0000  	0+            	-68.1798  	19   	STABLE                   	infinity                 	25.475%   	36      	        	            
163	Dy     	66 	97 	0.0000  	5/2-          	-66.3795  	19   	STABLE                   	infinity                 	24.896%   	42      	        	            
164	Dy     	66 	98 	0.0000  	0+            	-65.9663  	19   	STABLE                   	infinity                 	28.260%   	54      	        	            
165	Ho     	67 	98 	0.0000  	7/2-          	-64.8977  	20   	STABLE                   	infinity                 	100%      	        	        	            
162	Er     	68 	94 	0.0000  	0+            	-66.3329  	19   	STABLE                   	infinity                 	0.139%    	5       	        	            
164	Er     	68 	96 	0.0000  	0+            	-65.941   	3    	STABLE                   	infinity                 	1.601%    	3       	        	            
166	Er     	68 	98 	0.0000  	0+            	-64.9245  	21   	STABLE                   	infinity                 	33.503%   	36      	        	            
167	Er     	68 	99 	0.0000  	7/2+          	-63.2897  	21   	STABLE                   	infinity                 	22.869%   	9       	        	            
168	Er     	68 	100	0.0000  	0+            	-62.9897  	21   	STABLE                   	infinity                 	26.978%   	18      	        	            
170	Er     	68 	102	0.0000  	0+            	-60.1080  	24   	STABLE                   	infinity                 	14.910%   	36      	        	            
169	Tm     	69 	100	0.0000  	1/2+          	-61.2745  	21   	STABLE                   	infinity                 	100%      	        	        	            
168	Yb     	70 	98 	0.0000  	0+            	-61.5804  	21   	STABLE                   	infinity                 	0.123%    	3       	        	            
170	Yb     	70 	100	0.0000  	0+            	-60.7636  	21   	STABLE                   	infinity                 	2.982%    	39      	        	            
171	Yb     	70 	101	0.0000  	1/2-          	-59.3068  	21   	STABLE                   	infinity                 	14.09%    	14      	        	            
172	Yb     	70 	102	0.0000  	0+            	-59.2550  	21   	STABLE                   	infinity                 	21.68%    	13      	        	            
173	Yb     	70 	103	0.0000  	5/2-          	-57.5510  	21   	STABLE                   	infinity                 	16.103%   	63      	        	            
174	Yb     	70 	104	0.0000  	0+            	-56.9443  	21   	STABLE                   	infinity                 	32.026%   	80      	        	            
176	Yb     	70 	106	0.0000  	0+            	-53.4885  	23   	STABLE                   	infinity                 	12.996%   	83      	        	            
175	Lu     	71 	104	0.0000  	7/2+          	-55.1661  	19   	STABLE                   	infinity                 	97.401%   	13      	        	            
176	Lu     	71 	105	0.0000  	7-            	-53.3828  	19   	3.76E+10 Y 7             	1.187E18                 	2.599%    	13      	B-      	100.00      
174	Hf     	72 	102	0.0000  	0+            	-55.845   	3    	2.0E+15 Y 4              	6.312E22                 	0.16%     	1       	A       	100.00      
176	Hf     	72 	104	0.0000  	0+            	-54.5769  	21   	STABLE                   	infinity                 	5.26%     	7       	        	            
177	Hf     	72 	105	0.0000  	7/2-          	-52.8850  	21   	STABLE                   	infinity                 	18.60%    	9       	        	            
178	Hf     	72 	106	0.0000  	0+            	-52.4396  	21   	STABLE                   	infinity                 	27.28%    	7       	        	            
179	Hf     	72 	107	0.0000  	9/2+          	-50.4673  	21   	STABLE                   	infinity                 	13.62%    	2       	        	            
180	Hf     	72 	108	0.0000  	0+            	-49.7838  	21   	STABLE                   	infinity                 	35.08%    	16      	        	            
180	Ta     	73 	107	0.0771  	9-            	-48.8594  	23   	1.2E+15 Y GT             	3.787E22                 	0.01201%  	32      	EC      	?           
180	Ta     	73 	107	0.0771  	9-            	-48.8594  	23   	1.2E+15 Y GT             	3.787E22                 	0.01201%  	32      	B-      	?           
181	Ta     	73 	108	0.0000  	7/2+          	-48.4419  	19   	STABLE                   	infinity                 	99.98799% 	32      	        	            
180	W      	74 	106	0.0000  	0+            	-49.6365  	24   	6.6E+17 Y GE             	2.0828E25                	0.12%     	1       	2EC     	100.00      
182	W      	74 	108	0.0000  	0+            	-48.2475  	8    	STABLE                   	infinity                 	26.50%    	16      	        	            
183	W      	74 	109	0.0000  	1/2-          	-46.3671  	8    	1.3E+19 Y GT             	4.102E26                 	14.31%    	4       	A       	            
184	W      	74 	110	0.0000  	0+            	-45.7075  	9    	STABLE                   	infinity                 	30.64%    	2       	        	            
186	W      	74 	112	0.0000  	0+            	-42.5109  	15   	2.3E+19 Y GT             	7.258E26                 	28.43%    	19      	2B-     	            
185	Re     	75 	110	0.0000  	5/2+          	-43.8225  	12   	STABLE                   	infinity                 	37.40%    	2       	        	            
187	Re     	75 	112	0.0000  	5/2+          	-41.2184  	15   	4.33E+10 Y 7             	1.366E18                 	62.60%    	2       	B-      	100.00      
187	Re     	75 	112	0.0000  	5/2+          	-41.2184  	15   	4.33E+10 Y 7             	1.366E18                 	62.60%    	2       	A       	< 1.0E-4    
184	Os     	76 	108	0.0000  	0+            	-44.2566  	13   	5.6E13 Y GT              	1.767E21                 	0.02%     	1       	A       	            
186	Os     	76 	110	0.0000  	0+            	-43.0023  	15   	2.0E+15 Y 11             	6.312E22                 	1.59%     	3       	A       	100.00      
187	Os     	76 	111	0.0000  	1/2-          	-41.2209  	15   	STABLE                   	infinity                 	1.96%     	2       	        	            
188	Os     	76 	112	0.0000  	0+            	-41.1392  	15   	STABLE                   	infinity                 	13.24%    	8       	        	            
189	Os     	76 	113	0.0000  	3/2-          	-38.9883  	16   	STABLE                   	infinity                 	16.15%    	5       	        	            
190	Os     	76 	114	0.0000  	0+            	-38.7093  	16   	STABLE                   	infinity                 	26.26%    	2       	        	            
192	Os     	76 	116	0.0000  	0+            	-35.884   	3    	STABLE                   	infinity                 	40.78%    	19      	        	            
191	Ir     	77 	114	0.0000  	3/2+          	-36.7107  	19   	STABLE                   	infinity                 	37.3%     	2       	        	            
193	Ir     	77 	116	0.0000  	3/2+          	-34.5382  	19   	STABLE                   	infinity                 	62.7%     	2       	        	            
190	Pt     	78 	112	0.0000  	0+            	-37.325   	6    	6.5E+11 Y 3              	2.0512E19                	0.014%    	2       	A       	100.00      
192	Pt     	78 	114	0.0000  	0+            	-36.292   	3    	STABLE                   	infinity                 	0.782%    	24      	        	            
194	Pt     	78 	116	0.0000  	0+            	-34.7625  	9    	STABLE                   	infinity                 	32.967%   	40      	        	            
195	Pt     	78 	117	0.0000  	1/2-          	-32.7962  	9    	STABLE                   	infinity                 	33.832%   	24      	        	            
196	Pt     	78 	118	0.0000  	0+            	-32.6468  	9    	STABLE                   	infinity                 	25.242%   	34      	        	            
198	Pt     	78 	120	0.0000  	0+            	-29.9056  	22   	STABLE                   	infinity                 	7.163%    	13      	        	            
197	Au     	79 	118	0.0000  	3/2+          	-31.1409  	7    	STABLE                   	infinity                 	100%      	        	        	            
196	Hg     	80 	116	0.0000  	0+            	-31.827   	3    	STABLE                   	infinity                 	0.15%     	1       	        	            
198	Hg     	80 	118	0.0000  	0+            	-30.9548  	5    	STABLE                   	infinity                 	9.97%     	20      	        	            
199	Hg     	80 	119	0.0000  	1/2-          	-29.5464  	4    	STABLE                   	infinity                 	16.87%    	22      	        	            
200	Hg     	80 	120	0.0000  	0+            	-29.5035  	4    	STABLE                   	infinity                 	23.10%    	19      	        	            
201	Hg     	80 	121	0.0000  	3/2-          	-27.6629  	6    	STABLE                   	infinity                 	13.18%    	9       	        	            
202	Hg     	80 	122	0.0000  	0+            	-27.3456  	6    	STABLE                   	infinity                 	29.86%    	26      	        	            
204	Hg     	80 	124	0.0000  	0+            	-24.6902  	5    	STABLE                   	infinity                 	6.87%     	15      	        	            
203	Tl     	81 	122	0.0000  	1/2+          	-25.7620  	13   	STABLE                   	infinity                 	29.52%   	1       	        	            
205	Tl     	81 	124	0.0000  	1/2+          	-23.8215  	13   	STABLE                   	infinity                 	70.48%    	1       	        	            
204	Pb     	82 	122	0.0000  	0+            	-25.1105  	12   	1.4E+17 Y GE             	4.418E24                 	1.4%      	1       	A       	            
206	Pb     	82 	124	0.0000  	0+            	-23.7862  	12   	STABLE                   	infinity                 	24.1%     	1       	        	            
207	Pb     	82 	125	0.0000  	1/2-          	-22.4527  	12   	STABLE                   	infinity                 	22.1%     	1       	        	            
208	Pb     	82 	126	0.0000  	0+            	-21.7492  	12   	STABLE                   	infinity                 	52.4%     	1       	        	            
209	Bi     	83 	126	0.0000  	9/2-          	-18.2593  	15   	STABLE                   	infinity                 	100%      	        	        	            
