A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
49 	Ti     	22 	27 	0.0000  	7/2-          	-48.5628  	4    	STABLE                   	infinity                 	5.41%     	2       	        	            
50 	Ti     	22 	28 	0.0000  	0+            	-51.4307  	4    	STABLE                   	infinity                 	5.18%     	2       	        	            
50 	V      	23 	27 	0.0000  	6+            	-49.2240  	9    	2.1E+17 Y GT             	6.627E24                 	0.250%    	2       	EC      	> 92.90     
50 	V      	23 	27 	0.0000  	6+            	-49.2240  	9    	2.1E+17 Y GT             	6.627E24                 	0.250%    	2       	B-      	< 7.10      
51 	V      	23 	28 	0.0000  	7/2-          	-52.2039  	9    	STABLE                   	infinity                 	99.750%   	2       	        	            
50 	Cr     	24 	26 	0.0000  	0+            	-50.2619  	9    	1.3E+18 Y GT             	4.102E25                 	4.345%    	13      	2EC     	            
52 	Cr     	24 	28 	0.0000  	0+            	-55.4180  	6    	STABLE                   	infinity                 	83.789%   	18      	        	            
53 	Cr     	24 	29 	0.0000  	3/2-          	-55.2858  	6    	STABLE                   	infinity                 	9.501%    	17      	        	            
54 	Cr     	24 	30 	0.0000  	0+            	-56.9336  	6    	STABLE                   	infinity                 	2.365%    	7       	        	            
55 	Mn     	25 	30 	0.0000  	5/2-          	-57.7117  	4    	STABLE                   	infinity                 	100%      	        	        	            
54 	Fe     	26 	28 	0.0000  	0+            	-56.2538  	5    	STABLE                   	infinity                 	5.845%    	35      	        	            
56 	Fe     	26 	30 	0.0000  	0+            	-60.6063  	5    	STABLE                   	infinity                 	91.754%   	36      	        	            
57 	Fe     	26 	31 	0.0000  	1/2-          	-60.1811  	5    	STABLE                   	infinity                 	2.119%    	10      	        	            
58 	Fe     	26 	32 	0.0000  	0+            	-62.1544  	5    	STABLE                   	infinity                 	0.282%    	4       	        	            
59 	Co     	27 	32 	0.0000  	7/2-          	-62.2290  	5    	STABLE                   	infinity                 	100%      	        	        	            
58 	Ni     	28 	30 	0.0000  	0+            	-60.2281  	5    	STABLE                   	infinity                 	68.077%   	9       	        	            
60 	Ni     	28 	32 	0.0000  	0+            	-64.4725  	5    	STABLE                   	infinity                 	26.223%   	8       	        	            
61 	Ni     	28 	33 	0.0000  	3/2-          	-64.2212  	5    	STABLE                   	infinity                 	1.1399%   	13      	        	            
62 	Ni     	28 	34 	0.0000  	0+            	-66.7458  	5    	STABLE                   	infinity                 	3.6346%   	40      	        	            
64 	Ni     	28 	36 	0.0000  	0+            	-67.0984  	5    	STABLE                   	infinity                 	0.9255%   	19      	        	            
63 	Cu     	29 	34 	0.0000  	3/2-          	-65.5792  	5    	STABLE                   	infinity                 	69.15%    	15      	        	            
65 	Cu     	29 	36 	0.0000  	3/2-          	-67.2633  	7    	STABLE                   	infinity                 	30.85%    	15      	        	            
64 	Zn     	30 	34 	0.0000  	0+            	-66.0036  	7    	7.0E20 Y GE              	2.209E28                 	49.17%    	75      	2EC     	            
66 	Zn     	30 	36 	0.0000  	0+            	-68.8990  	9    	STABLE                   	infinity                 	27.73%    	98      	        	            
67 	Zn     	30 	37 	0.0000  	5/2-          	-67.8800  	9    	STABLE                   	infinity                 	4.04%     	16      	        	            
68 	Zn     	30 	38 	0.0000  	0+            	-70.0068  	9    	STABLE                   	infinity                 	18.45%    	63      	        	            
70 	Zn     	30 	40 	0.0000  	0+            	-69.5646  	20   	2.3E+17 Y GE             	7.258E24                 	0.61%     	10      	2B-     	            
69 	Ga     	31 	38 	0.0000  	3/2-          	-69.3277  	12   	STABLE                   	infinity                 	60.108%   	9       	        	            
71 	Ga     	31 	40 	0.0000  	3/2-          	-70.1390  	8    	STABLE                   	infinity                 	39.892%   	9       	        	            
70 	Ge     	32 	38 	0.0000  	0+            	-70.5618  	8    	STABLE                   	infinity                 	20.57%    	27      	        	            
72 	Ge     	32 	40 	0.0000  	0+            	-72.5856  	5    	STABLE                   	infinity                 	27.45%    	32      	        	            
73 	Ge     	32 	41 	0.0000  	9/2+          	-71.2972  	5    	STABLE                   	infinity                 	7.75%     	12      	        	            
74 	Ge     	32 	42 	0.0000  	0+            	-73.4221  	5    	STABLE                   	infinity                 	36.50%    	20      	        	            
76 	Ge     	32 	44 	0.0000  	0+            	-73.21280 	9    	STABLE                   	infinity                 	7.73%     	12      	        	            
75 	As     	33 	42 	0.0000  	3/2-          	-73.0337  	9    	STABLE                   	infinity                 	100%      	        	        	            
74 	Se     	34 	40 	0.0000  	0+            	-72.2127  	3    	STABLE                   	infinity                 	0.89%     	4       	        	            
76 	Se     	34 	42 	0.0000  	0+            	-75.25180 	7    	STABLE                   	infinity                 	9.37%     	29      	        	            
77 	Se     	34 	43 	0.0000  	1/2-          	-74.59930 	10   	STABLE                   	infinity                 	7.63%     	16      	        	            
78 	Se     	34 	44 	0.0000  	0+            	-77.02580 	20   	STABLE                   	infinity                 	23.77%    	28      	        	            
80 	Se     	34 	46 	0.0000  	0+            	-77.7598  	15   	STABLE                   	infinity                 	49.61%    	41      	2B-     	            
82 	Se     	34 	48 	0.0000  	0+            	-77.5940  	15   	STABLE                   	infinity                 	8.73%     	22      	        	            
79 	Br     	35 	44 	0.0000  	3/2-          	-76.0684  	15   	STABLE                   	infinity                 	50.69%    	7       	        	            
81 	Br     	35 	46 	0.0000  	3/2-          	-77.9755  	13   	STABLE                   	infinity                 	49.31%    	7       	        	            
78 	Kr     	36 	42 	0.0000  	0+            	-74.1795  	7    	1.5E+21 Y GE             	4.734E28                 	0.355%    	3       	2EC     	            
80 	Kr     	36 	44 	0.0000  	0+            	-77.8925  	8    	STABLE                   	infinity                 	2.286%    	10      	        	            
82 	Kr     	36 	46 	0.0000  	0+            	-80.5902  	9    	STABLE                   	infinity                 	11.593%   	31      	        	            
83 	Kr     	36 	47 	0.0000  	9/2+          	-79.9900  	3    	STABLE                   	infinity                 	11.500%   	19      	        	            
84 	Kr     	36 	48 	0.0000  	0+            	-82.439300	4    	STABLE                   	infinity                 	56.987%   	15      	        	            
86 	Kr     	36 	50 	0.0000  	0+            	-83.265600	4    	STABLE                   	infinity                 	17.279%   	41      	        	            
85 	Rb     	37 	48 	0.0000  	5/2-          	-82.167300	5    	STABLE                   	infinity                 	72.17%    	2       	        	            
87 	Rb     	37 	50 	0.0000  	3/2-          	-84.597700	6    	4.81E+10 Y 9             	1.518E18                 	27.83%    	2       	B-      	100.00      
84 	Sr     	38 	46 	0.0000  	0+            	-80.6493  	13   	STABLE                   	infinity                 	0.56%     	1       	        	            
86 	Sr     	38 	48 	0.0000  	0+            	-84.5232  	11   	STABLE                   	infinity                 	9.86%     	1       	        	            
87 	Sr     	38 	49 	0.0000  	9/2+          	-84.8800  	11   	STABLE                   	infinity                 	7.00%     	1       	        	            
88 	Sr     	38 	50 	0.0000  	0+            	-87.9213  	11   	STABLE                   	infinity                 	82.58%    	1       	        	            
89 	Y      	39 	50 	0.0000  	1/2-          	-87.7096  	25   	STABLE                   	infinity                 	100%      	        	        	            
90 	Zr     	40 	50 	0.0000  	0+            	-88.7742  	22   	STABLE                   	infinity                 	51.45%    	40      	        	            
91 	Zr     	40 	51 	0.0000  	5/2+          	-87.8973  	22   	STABLE                   	infinity                 	11.22%    	5       	        	            
92 	Zr     	40 	52 	0.0000  	0+            	-88.4607  	22   	STABLE                   	infinity                 	17.15%    	8       	        	            
94 	Zr     	40 	54 	0.0000  	0+            	-87.2725  	23   	STABLE                   	infinity                 	17.38%    	28      	        	            
96 	Zr     	40 	56 	0.0000  	0+            	-85.4477  	25   	2.35E+19 Y 21            	7.416E26                 	2.80%     	9       	2B-     	            
93 	Nb     	41 	52 	0.0000  	9/2+          	-87.2142  	23   	STABLE                   	infinity                 	100%      	        	        	            
92 	Mo     	42 	50 	0.0000  	0+            	-86.809   	4    	STABLE                   	infinity                 	14.53%    	30      	        	            
